  Operator non-availability periods., 4OR
  Satisfiability checking and symbolic computation., ACM Commun. Comput. Algebra
  Conceptual Representations for Computational Concept Creation., ACM Comput. Surv.
  Achieving I/O improvements in a mass spectral database., ACM Crossroads
  A usage based analysis of CoRR., ACM J. Comput. Documentation
  A virtual conversation on Bernadette Longo's Spurious Coin A History of Science, Management, and Technical Writing., ACM J. Comput. Documentation
  Evaluation-as-a-Service for the Computational Sciences Overview and Outlook., ACM J. Data Inf. Qual.
  Innovative model for information assurance curriculum A teaching hospital., ACM J. Educ. Resour. Comput.
  Nanoscale electronic synapses using phase change devices., ACM J. Emerg. Technol. Comput. Syst.
  Multi-level Steiner Trees., ACM J. Exp. Algorithmics
  ARIADNE A Research Infrastructure for Archaeology., ACM Journal on Computing and Cultural Heritage
  Unifying Biological Image Formats with HDF5., ACM Queue
  Challenges of Memory Management on Modern NUMA System., ACM Queue
  Strategic design for users with diabetic retinopathy factors influencing performance in a menu-selection task., ACM SIGACCESS Access. Comput.
  Handling context-sensitive syntactic issues in the design of a front-end for a MATLAB compiler., ACM SIGAPL APL Quote Quad
  An exploration of the current state of information assurance education., ACM SIGCSE Bull.
  Unmanned aircraft systems in the national airspace system a formal methods perspective., ACM SIGLOG News
  Automatic verification of database-centric systems., ACM SIGLOG News
  Brasilia Spring on Automated Reasoning., ACM SIGLOG News
  Type systems for information flow control the question of granularity., ACM SIGLOG News
  Women in Logic 2018 workshop report., ACM SIGLOG News
  Programming language techniques for differential privacy., ACM SIGLOG News
  Catuscia Palamidessi a journey from logic and concurrency to security and privacy., ACM SIGLOG News
  Symbolically analyzing security protocols using tamarin., ACM SIGLOG News
  SCORPION a heterogeneous wireless networking testbed., ACM SIGMOBILE Mob. Comput. Commun. Rev.
  Foreword to the Silver Edition, ACM SIGMOD Anthology
  Multics Relational Data Store (MRDS), ACM SIGMOD Anthology
  Review - Transient Versioning for Consistency and Concurrency in Client-Server Systems., ACM SIGMOD Digit. Rev.
  Review - Atomicity versus Anonymity Distributed Transactions for Electronic Commerce., ACM SIGMOD Digit. Rev.
  Review - The Aqua Approximate Query Answering System., ACM SIGMOD Digit. Rev.
  Review - A Logical Approach to Multidimensional Databases., ACM SIGMOD Digit. Rev.
  Review - An Authorization Mechanism for a Relational Data Base System., ACM SIGMOD Digit. Rev.
  Review - Ripple Joins for Online Aggregation., ACM SIGMOD Digit. Rev.
  Review - Concurrency Control Performance Modeling Alternatives and Implications., ACM SIGMOD Digit. Rev.
  Review - Xml-ql A Query Language for XML, ACM SIGMOD Digit. Rev.
  Review - Computable Queries for Relational Data Bases., ACM SIGMOD Digit. Rev.
  Review - Automatic Discovery of Language Models for Text Databases., ACM SIGMOD Digit. Rev.
  Review - Data Mining An Overview from a Database Perspective., ACM SIGMOD Digit. Rev.
  Review - Temporal Entity-Relationship Models - A Survey., ACM SIGMOD Digit. Rev.
  Review - On the Optimal Nesting Order for Computing N-Relational Joins., ACM SIGMOD Digit. Rev.
  Review - Data Placement In Bubba., ACM SIGMOD Digit. Rev.
  Review - Schema Versioning for Multitemporal Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Of Objects and Databases A Decade of Turmoil, ACM SIGMOD Digit. Rev.
  Review - An Approach to Persistent Programming., ACM SIGMOD Digit. Rev.
  Review - Digital Library Technology for Locating and Accessing Scientific Data, ACM SIGMOD Digit. Rev.
  Review - Replication and Mobility., ACM SIGMOD Digit. Rev.
  Review - Data Cube A Relational Aggregation Operator Generalizing Group-By, Cross-Tab, and Sub-Total., ACM SIGMOD Digit. Rev.
  Review - Methodological Framework for Data Warehouse Design., ACM SIGMOD Digit. Rev.
  Review - Temporal Entity-Relationship Models - A Survey., ACM SIGMOD Digit. Rev.
  Review - Data Processing Spheres of Control., ACM SIGMOD Digit. Rev.
  Review - e-Commerce Bargain-Hunting with an UnBun Model., ACM SIGMOD Digit. Rev.
  Review - Description Logics in Data Management, ACM SIGMOD Digit. Rev.
  Review - Efficient Processing of Spatial Joins Using R-Trees., ACM SIGMOD Digit. Rev.
  Review - Adaptive Protocols for Information Dissemination in Wireless Sensor Networks., ACM SIGMOD Digit. Rev.
  Review - Access Path Selection in a Relational Database Management System., ACM SIGMOD Digit. Rev.
  Review - On Completeness of Historical Relational Query Languages., ACM SIGMOD Digit. Rev.
  Review - Answering Recursive Queries Using Views., ACM SIGMOD Digit. Rev.
  Review - Storing and Querying XML Data using an RDMBS., ACM SIGMOD Digit. Rev.
  Review - On Instance-Completeness for Database Query Languages involving Object Creation., ACM SIGMOD Digit. Rev.
  Review - Relational Databases for Querying XML Documents Limitations and Opportunities., ACM SIGMOD Digit. Rev.
  Review - Query Optimization for XML., ACM SIGMOD Digit. Rev.
  Review - Query Evaluation Techniques for Large Databases., ACM SIGMOD Digit. Rev.
  Review - Temporal Data Management Systems A Comparative View., ACM SIGMOD Digit. Rev.
  Review - Hypothetical Datalog Complexity and Expressibility., ACM SIGMOD Digit. Rev.
  Review - Join Synopses for Approximate Query Answering., ACM SIGMOD Digit. Rev.
  Review - Role Hierarchies and Constraints for Lattice-Based Access Controls., ACM SIGMOD Digit. Rev.
  Review - Landmarks a New Model for Similarity-based Pattern Querying in Time Series Databases., ACM SIGMOD Digit. Rev.
  Review - Query Optimization by Simulated Annealing., ACM SIGMOD Digit. Rev.
  Review - The Entity-Relationship Model - Toward a Unified View of Data., ACM SIGMOD Digit. Rev.
  Review - Implementation of Automatic Lock Determination in C++-based OODBMSs., ACM SIGMOD Digit. Rev.
  Review - Using Semi-Joins to Solve Relational Queries, ACM SIGMOD Digit. Rev.
  Review - The Notions of Consistency and Predicate Locks in a Database System., ACM SIGMOD Digit. Rev.
  Review - Hash Joins and Hash Teams in Microsoft SQL Server., ACM SIGMOD Digit. Rev.
  Review - A Novel Index Supporting High Volume Data Warehouse Insertion., ACM SIGMOD Digit. Rev.
  Review - Querying Multiple Features of Groups in Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Towards Guaranteed Quality and Dependability of Information Services., ACM SIGMOD Digit. Rev.
  Review - The Logical Access Path Schema of a Database, ACM SIGMOD Digit. Rev.
  Review - View Indexing in Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Fault Tolerant Design of Multimedia Servers., ACM SIGMOD Digit. Rev.
  Review - Fast Joins Using Join Indices., ACM SIGMOD Digit. Rev.
  Review - Data Management for XML Research Directions., ACM SIGMOD Digit. Rev.
  Review - TerraServer A Spatial Data Warehouse., ACM SIGMOD Digit. Rev.
  Review - The R*-Tree An Efficient and Robust Access Method for Points and Rectangles., ACM SIGMOD Digit. Rev.
  Review - Supporting Valid-Time Indeterminacy., ACM SIGMOD Digit. Rev.
  Review - Equivalence of Relational Algebra and Relational Calculus Query Languages Having Aggregate Functions, ACM SIGMOD Digit. Rev.
  Review - Automatic Discovery of Language Models for Text Databases., ACM SIGMOD Digit. Rev.
  Review - Optimization by Simmulated Annealing., ACM SIGMOD Digit. Rev.
  Review - Versioning and Configuration Management in an Object-Oriented Data Model, ACM SIGMOD Digit. Rev.
  Review - The Theory of Joins in Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Visualization of Retrieved Documents using a Presentation Server, ACM SIGMOD Digit. Rev.
  Review - On Modeling and Verification of Temporal Constraints in Production Workflows., ACM SIGMOD Digit. Rev.
  Review - Mining Association Rules between Sets of Items in Large Databases., ACM SIGMOD Digit. Rev.
  Review - Explaining Differences in Multidimensional Aggregates., ACM SIGMOD Digit. Rev.
  Review - Multi-Level Multi-Channel Air Cache Designs for Broadcasting in a Mobile Environment., ACM SIGMOD Digit. Rev.
  Review - Efficient Locking for Concurrent Operations on B-Trees., ACM SIGMOD Digit. Rev.
  Review - A Method for On-Line Reorganization of a Database., ACM SIGMOD Digit. Rev.
  Review - Use and usability in a digital library search system, ACM SIGMOD Digit. Rev.
  Review - Out of Their Minds The Lives and Discoveries of 15 Great Computer Scientists., ACM SIGMOD Digit. Rev.
  Review - Mining Association Rules between Sets of Items in Large Databases., ACM SIGMOD Digit. Rev.
  Review - Object Operations Benchmark., ACM SIGMOD Digit. Rev.
  Review - Computable Queries for Relational Data Bases., ACM SIGMOD Digit. Rev.
  Review - The GMAP A Versatile Tool for Physical Data Independence., ACM SIGMOD Digit. Rev.
  Review - Towards a Logical Reconstruction of Relational Database Theory., ACM SIGMOD Digit. Rev.
  Review - Database Tuning - A Principled Approach., ACM SIGMOD Digit. Rev.
  Review - Relational Databases for Querying XML Documents Limitations and Opportunities., ACM SIGMOD Digit. Rev.
  Review - Semantic Compression and Pattern Extraction with Fascicles., ACM SIGMOD Digit. Rev.
  Review - MOCHA A Self-Extensible Database Middleware System for Distributed Data Sources., ACM SIGMOD Digit. Rev.
  Review - Datawarehousing Has More Colours Than Just Black & White., ACM SIGMOD Digit. Rev.
  Review - Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources., ACM SIGMOD Digit. Rev.
  Review - High-Performance Extensible Indexing., ACM SIGMOD Digit. Rev.
  Review - On Random Sampling over Joins., ACM SIGMOD Digit. Rev.
  Review - An Overview of Data Warehousing and OLAP Technology., ACM SIGMOD Digit. Rev.
  Review - Safeguarding Digital Library Contents and Users Protecting Documents Rather Than Channels., ACM SIGMOD Digit. Rev.
  Review - Integrating Heterogenous Overlapping Databases through Object-Oriented Transformations., ACM SIGMOD Digit. Rev.
  Review - DynaMat A Dynamic View Management System for Data Warehouses., ACM SIGMOD Digit. Rev.
  Review - Query Processing in Distributed ORION., ACM SIGMOD Digit. Rev.
  Review - Incomplete Information in Relational Databases, ACM SIGMOD Digit. Rev.
  Review - Querying XML Data., ACM SIGMOD Digit. Rev.
  Review - Time Constraints in Workflow Systems., ACM SIGMOD Digit. Rev.
  Review - Of Nests and Trees A Unified Approach to Processing Queries That Contain Nested Subqueries, Aggregates, and Quantifiers., ACM SIGMOD Digit. Rev.
  Review - EXPRESS A Data EXtraction, Processing, amd REStructuring System., ACM SIGMOD Digit. Rev.
  Review - Xml-ql A Query Language for XML, ACM SIGMOD Digit. Rev.
  Review - Clustering Categorical Data An Approach Based on Dynamical Systems, ACM SIGMOD Digit. Rev.
  Review - The Benchmark Handbook for Database and Transaction Systems., ACM SIGMOD Digit. Rev.
  Review - Aqua A Fast Decision Support Systems Using Approximate Query Answers., ACM SIGMOD Digit. Rev.
  Review - Physical Database Design for Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases., ACM SIGMOD Digit. Rev.
  Review - R-Trees A Dynamic Index Structure for Spatial Searching., ACM SIGMOD Digit. Rev.
  Review - The Database Language GEM., ACM SIGMOD Digit. Rev.
  Review - The Future of Classic Data Administration Objects + Databases + CASE, ACM SIGMOD Digit. Rev.
  Review - XML, Java, and the Future of the Web., ACM SIGMOD Digit. Rev.
  Review - Diag-Join An Opportunistic Join Algorithm for 1N Relationships., ACM SIGMOD Digit. Rev.
  Review - A Majority Consensus Approach to Concurrency Control for Multiple Copy Databases., ACM SIGMOD Digit. Rev.
  Review - Query Optimization by Predicate Move-Around., ACM SIGMOD Digit. Rev.
  Review - Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database., ACM SIGMOD Digit. Rev.
  Review - AlphaSort A RISC Machine Sort., ACM SIGMOD Digit. Rev.
  Review - Benchmarking Database Systems A Systematic Approach., ACM SIGMOD Digit. Rev.
  Review - Notes on Data Base Operating Systems., ACM SIGMOD Digit. Rev.
  Review - Integrating Mining with Relational Database Systems Alternatives and Implications., ACM SIGMOD Digit. Rev.
  Review - Exact and Approximate Aggregation in Constraint Query., ACM SIGMOD Digit. Rev.
  Review - Relational Transducers for Electronic Commerce, ACM SIGMOD Digit. Rev.
  Review - Rewriting of Regular Expressions and Regular Path Queries., ACM SIGMOD Digit. Rev.
  Review - Decidable Reasoning in Terminological Knowledge Representation Systems., ACM SIGMOD Digit. Rev.
